id,first_name,last_name,birth_date,street,zip_code,city,phone_number,mobile_number,email,news_letter,lng,lat
66,Curt,Riedl,27.10.1925,Paul-Engelhard-Weg 176,86447,Todtenweis,+4982377435670,+491642124537,c.riedl@mail.xyz,ja,10.9283297,48.5176521
67,Neele,Br_ker,16.12.1994,Birkenweg 74,84183,Niederviehbach,+49870234133790,+491577786984,n.broeker@mail.xyz,ja,12.3806099,48.6329761
68,Katharina,Kr_mer,15.6.1982,Salzmannstr. 136,15745,Wildau,+49337514169170,+491669308982,k.kraemer@mail.xyz,ja,13.6265615,52.3260146
69,Bennett,Lampert,10.7.1996,Zur Wiese 44,8321,Zschorlau,+49377153924781,+491586629001,b.lampert@mail.xyz,ja,INVALID_LOCATION,INVALID_LOCATION
70,Nic,Grothe,1.10.1983,Unter Kahlenhausen 199,86739,Ederheim,+49908153927225,+491762040214,n.grothe@mail.xyz,ja,10.4655255,48.8084196
71,Collin,Lewis,1.4.1993,Marientalstr. 174,58809,Neuenrade,+4923923098701,+491636763717,collin.lewis@mail.xyz,ja,7.795036899999999,51.2847342
72,Johann,Fiedler,28.6.1955,Gleueler Str. 15,25842,Langenhorn,+49467232008699,+491572486727,johann.fiedler@mail.xyz,ja,8.9337008,54.6817614
73,Klaas,Dekan,4.1.1928,Marientalstr. 191,68789,Sankt Leon-Rot,+49622742456629,+491725886472,klaas.dekan@mail.xyz,ja,8.6265334,49.2568614
74,Kiara,Michaelis,10.4.1992,Frauenstr. 173,97640,Hendungen,+49977669817529,+491504450424,k.michaelis@mail.xyz,ja,10.3533231,50.3941883
75,Sandra,Edelmann,2.7.1922,Mindener Str. 11,64832,Babenhausen,+49607399770991,+491699041558,s.edelmann@mail.xyz,ja,8.9588974,49.9593613
76,Lasse,Imhof,27.7.1955,Schwalbenweg 155,6449,Westdorf,+4934739450915,+491751202377,lasse.imhof@mail.xyz,ja,11.4531916,51.74649669999999
77,Josephine,Burger,25.5.1950,Hoove 170,63579,Freigericht,+49605544307068,+491607982029,j.buerger@mail.xyz,ja,9.143807299999999,50.1431461
78,Henrik,Sahm,23.11.1938,Baumberger Str. 29,78052,Villingen-Schwenningen,+49772192321607,+491689227186,h.sahm@mail.xyz,ja,8.4109794,48.0410653
79,Frederik,Ternes,18.10.1967,Hogenbergstr. 65,90547,Stein,+4991196860172,+491535580970,frederik.ternes@mail.xyz,ja,10.9811563,49.3989019
80,Sebastian,Reis,26.1.1965,Lassallestr. 98,55471,Neuerkirch,+49676183679418,+491782659885,s.reis@mail.xyz,ja,7.4921872,50.0136967
81,Katja,Alvarez,16.11.1989,Nerzweg 123,65307,Bad Schwalbach,+49612430675802,+491613801952,katja.alvarez@mail.xyz,ja,8.0674608,50.1416283
82,Kian,Schumacher,21.11.1935,Am Filk 151,79674,Todtnau,+49767188191399,+491505414422,k.schumacher@mail.xyz,ja,7.9454669,47.8306596
83,Falk,Hock,17.6.1937,Schmittingheide 2,77776,Bad Rippoldsau-Schapbach,+49783984251429,+491542599423,f.hock@mail.xyz,ja,8.3214004,48.4327452
84,Birgit,Rupp,20.4.1997,Albachtener Str. 146,12687,Marzahn,+493016240378,+491774966706,birgit.rupp@mail.xyz,ja,13.5639941,52.5564034
85,Hans,Kegel,8.8.1964,Kleiner Griechenmarkt 22,18528,Buschvitz,+49383863890444,+491642658914,h.kegel@mail.xyz,ja,13.4716526,54.4305422
86,Luka,Moser,7.3.1965,Langeworth 40,24217,Bendfeld,+49434438332396,+491729354503,l.moser@mail.xyz,ja,10.419553,54.3641045
87,Lewin,Munoz,27.1.1933,Kurze Str. 106,15366,Hoppegarten,+49334245508947,+491546174378,lewin.munoz@mail.xyz,ja,13.6922278,52.5106222
88,Ilse,Herzberg,16.2.1998,Beuelsweg 173,57537,H_vels,+49274299554473,+491595993312,ilse.herzberg@mail.xyz,ja,-101.0963071,44.6462595
89,Rolf,Schweer,19.4.1923,Ossenkampstiege 93,38322,Hedeper,+49533638212844,+491602278495,rolf.schweer@mail.xyz,ja,10.6811197,52.0657141
90,Meik,Herman,8.11.1934,Wiedehagen 50,51789,Lindlar,+49226676135825,+491542744982,meik.herman@mail.xyz,ja,7.3765504,51.0188593
91,Matis,Fields,22.3.1936,Hillscheider Weg 129a,75394,Oberreichenbach,+4970512400219,+491595016951,m.fields@mail.xyz,ja,8.6607829,48.73452109999999
92,Lennart,Schssler,18.9.1938,Parkallee 133,25709,Kronprinzenkoog,+49485682441198,+491741853982,l.schuessler@mail.xyz,ja,9.0035127,53.9529334
93,Frieda,Campbell,9.11.1993,Gasselstiege 162,21769,Lamstedt,+4947732825062,+491613443311,f.campbell@mail.xyz,ja,9.0958873,53.633508
94,Birgit,Seitz,7.2.1958,Hahnenstr. 100,83112,Frasdorf,+49805270731617,+491519705149,birgit.seitz@mail.xyz,ja,12.2855018,47.80271459999999
95,Sophie,Kampe,14.5.1920,Speestr. - 158,94148,Kirchham,+49853370969771,+491796059766,s.kampe@mail.xyz,ja,13.2675984,48.346549
96,Tobias,Watson,17.7.1956,Uhuweg 136,41751,Viersen,+49216299463053,+491579464646,tobias.watson@mail.xyz,ja,6.3206577,51.25004089999999
97,Jannik,Neuber,10.10.1946,Speestr. - 122,21493,Basthorst,+49415185232884,+491623555297,jannik.neuber@mail.xyz,ja,10.473389,53.57732379999999
98,Dustin,Jost,17.8.1960,Wollinstr. 81,49843,Getelo,+4959423551394,+491562250796,d.jost@mail.xyz,ja,6.8407611,52.4674811
99,Alex,Keidel,21.8.1960,Dreilinden 142,74336,Brackenheim,+49713524367640,+491589605462,a.keidel@mail.xyz,ja,9.0703137,49.0808636
100,Jasper,Schalk,22.7.1977,Rosenplatz 125,54518,Minderlittgen,+49657193398985,+491671833698,jasper.schalk@mail.xyz,ja,6.7928337,49.9946963
101,Bettina,Hermanns,12.9.1976,Goebenstr. 122,95176,Konradsreuth,+49929223131992,+491665668170,bettina.hermanns@mail.xyz,ja,11.8507666,50.2723191
102,Timo,McKenzie,9.10.1950,Ringelnatzstr. 7,55130,Mainz am Rhein,+49613125538685,+491678825382,timo.mckenzie@mail.xyz,ja,-93.08174729999999,44.9737443
103,Bernd,Kopp,7.12.1956,Mondstr. 12,54619,Eschfeld,+49655047063680,+491513707208,b.kopp@mail.xyz,ja,6.1992712,50.1122855
104,Reinhard,Ptz,18.4.1927,Marsweg 66,24787,Fockbek,+49433123525204,+491695439182,r.puetz@mail.xyz,ja,9.6,54.3
105,Rudolf,Seifried,2.8.1946,Im Stemmen 59,88364,Wolfegg,+49752787169243,+491585504456,r.seifried@mail.xyz,ja,9.7948066,47.8180653
106,Jonna,Ruf,15.12.1962,Dammstr. 126,24850,Lrschau,+49462135455967,+491616858155,jonna.ruf@mail.xyz,ja,-81.8333656,37.3035184
107,Markus,Spangenberg,16.12.1942,Friesenring 14,45133,Essen,+4920122850821,+491687396263,m.spangenberg@mail.xyz,ja,7.150586499999999,51.466434
108,Thorben,Walsh,28.4.1964,Lammerbach 17,97657,Sandberg,+49970115830129,+491789303609,thorben.walsh@mail.xyz,ja,10.0080762,50.3480874
109,Carina,Zeitz,22.3.1940,Rennbahnstr. 69,96047,Bamberg,+4995142749555,+491567896330,c.zeitz@mail.xyz,ja,10.8926107,49.8918432
110,Phillip,Wehner,25.1.1971,Kirchstr. 129,45657,Recklinghausen,+49236114085198,+491659255310,phillip.wehner@mail.xyz,ja,7.1975915,51.6156972
111,Caja,Cook,7.12.1977,J_gerstr. A 38,31157,Sarstedt,+49506664814426,+491749314801,c.cook@mail.xyz,ja,9.8546497,52.23697749999999
112,Anette,Steffens,9.1.1974,Rckertstr. 64,37434,Bodensee,+49552835019555,+491795931700,a.steffens@mail.xyz,ja,10.1317743,51.6056768
113,Carlotta,Reinert,2.12.1929,Gescherweg 28,21339,Lneburg,+49413146058207,+491639144430,c.reinert@mail.xyz,ja,INVALID_LOCATION,INVALID_LOCATION
114,Mika,Schenk,26.2.1989,Kochwiesenstr. 153,6618,Gieckau,+49344521648779,+491609490772,m.schenk@mail.xyz,ja,INVALID_LOCATION,INVALID_LOCATION
115,Mariella,Teichmann,26.1.1976,Drachterstr. 66,89340,Leipheim,+49822141655629,+491667760028,mariella.teichmann@mail.xyz,ja,10.2196324,48.4495038
116,Jasmin,Haberland,18.12.1996,Gremmendorfer Weg 59,76889,Gleiszellen-Gleishorbach,+49634335000420,+491776381527,jasmin.haberland@mail.xyz,ja,8.0058028,49.1288609
117,Luka,Reiff,3.4.1956,Dammstr. 66,87648,Aitrang,+4983438479873,+491603008769,luka.reiff@mail.xyz,ja,10.5347259,47.8177282
118,Anton,Heuer,2.2.1958,Hirseweg 164,69439,Zwingenberg,+49626329417763,+491565796028,a.heuer@mail.xyz,ja,9.0447136,49.4150468
119,Helmut,Christian,13.1.1947,Flakuhl 135,48480,Spelle,+49597748359501,+491589650810,helmut.christian@mail.xyz,ja,7.4675254,52.3604781
120,Samantha,Schwer,3.12.1963,Nieland 138,42697,Solingen,+4921278656660,+491757689391,samantha.schwer@mail.xyz,ja,6.9912361,51.1540297
121,Melanie,Link,4.7.1950,Grevener Str. 191,97199,Ochsenfurt,+49933180462977,+491574484152,melanie.link@mail.xyz,ja,10.0709014,49.6640025
122,Cedrik,Wolter,13.4.1982,An den Mhlen 71,63071,Offenbach am Main,+496921888498,+491656450773,c.wolter@mail.xyz,ja,8.7823611,50.0856921
123,Lars,Naumann,11.1.1937,Werseblick 69,56316,Raubach,+49268494259667,+491712177971,l.naumann@mail.xyz,ja,7.625152,50.57488900000001
124,Erwin,Turner,25.5.1998,K_sliner Str. 94,56132,Dausenau,+49260342414913,+491691276172,e.turner@mail.xyz,ja,7.761589600000001,50.3289501
125,Helga,Hildebrandt,14.6.1965,Josef-Suwelack-Weg 161,35649,Bischoffen,+4964447886495,+491593800872,h.hildebrandt@mail.xyz,ja,8.4477408,50.7043683
126,Christa,Hinkelmann,28.11.1997,Schwalbenweg 60,65193,Wiesbaden,+4961128301964,+491618259987,c.hinkelmann@mail.xyz,ja,8.335686299999999,50.0625906
127,Ivonne,Sautter,13.8.1954,Breslauer Str. 190,24837,Schleswig,+49462125713616,+491676929772,ivonne.sautter@mail.xyz,ja,9.556726099999999,54.524682
128,Lars,Hamann,8.10.1945,Am Burloh 26,55286,Sulzheim,+49673256806968,+491732295206,l.hamann@mail.xyz,ja,8.0940317,49.842542
129,Fenja,Bryan,6.5.1969,Dortmunder Str. 176,85247,Schwabhausen,+4981382151360,+491553699517,f.bryan@mail.xyz,ja,11.3651963,48.3012329
130,Karolina,Morton,6.12.2000,Schubertstr. 43,66583,Spiesen-Elversberg,+4968214556432,+491655658502,k.morton@mail.xyz,ja,7.1575336,49.3173734
131,Alfred,Schtz,6.10.1951,Florentine-Eichler-Str. 9,97225,Zellingen,+49936422246027,+491746931227,alfred.schuetz@mail.xyz,ja,9.816277,49.8974807
132,Walter,Ramirez,9.1.1938,Pankokstr. 151,97714,Oerlenbach,+49972546295482,+491581900647,walter.ramirez@mail.xyz,ja,10.133941,50.1434308
133,Patrick,Voss,28.9.1921,Scheibenstr. 139,64846,Gro-Zimmern,+49607190925961,+491504498447,patrick.voss@mail.xyz,ja,INVALID_LOCATION,INVALID_LOCATION
134,Reiner,Marschner,23.6.1946,Sporckweg 129,85643,Steinh_ring,+49809431017531,+491709279515,reiner.marschner@mail.xyz,ja,12.0924085,48.0786082
135,Amy,Layer,5.5.1989,Langeworth 63,24398,Winnemark,+49435278589082,+491765653996,a.layer@mail.xyz,ja,9.9232522,54.6163434
136,Hanna,Erickson,17.2.1960,Am Brook 134,64584,Biebesheim am Rhein,+49625823684539,+491605182124,h.erickson@mail.xyz,ja,8.4743923,49.7792822
137,Lyn,Henschel,11.3.1929,Am Brook 118,86854,Amberg,+49824122146054,+491771813521,lyn.henschel@mail.xyz,ja,10.6818503,48.0613444
138,Annica,Ahrend,10.11.1982,Carossastr. 180,6528,Breitenbach,+49346449475495,+491737419399,annica.ahrend@mail.xyz,ja,INVALID_LOCATION,INVALID_LOCATION
139,Marlies,Breit,21.5.1956,Ripenhorst 144,53518,Kottenborn,+49269129148373,+491726216509,m.breit@mail.xyz,ja,6.9013541,50.3541271
140,Frederic,Michels,24.9.1945,Rckertstr. 96,72813,Sankt Johann,+4971224726831,+491558486213,f.michels@mail.xyz,ja,9.3439709,48.4501064
141,Georg,Saul,7.1.1926,Dauvemhle 196,64589,Stockstadt am Rhein,+49615822090809,+491629898104,georg.saul@mail.xyz,ja,8.4686308,49.8074541
142,Horst,Tran,25.5.1930,Buldernweg 82,19288,Alt Krenzlin,+4938742437890,+491715336774,h.tran@mail.xyz,ja,11.3096387,53.31754859999999
143,Curt,Hof,28.9.1985,Kr_ver Str. 100,72516,Scheer,+49757231989867,+491743756200,c.hof@mail.xyz,ja,9.296848299999999,48.0743969
144,Ida,Gray,5.7.1933,Dauvemhle 44,30163,Hannover,+4951123939622,+491737814785,ida.gray@mail.xyz,ja,9.749382899999999,52.3996378
145,Giulia,Schnitzler,7.9.1935,Rschhausweg 30,25436,Neuendeich,+4941226777921,+491656060047,g.schnitzler@mail.xyz,ja,9.608243500000002,53.6756444
146,Thore,Gast_tten,13.6.1934,Marientalstr. 77,84048,Mainburg,+49875122014982,+491681973516,t.gastaetten@mail.xyz,ja,11.7816895,48.6431127
147,Jannick,Schwinn,19.3.1971,Holunderweg 171,73087,Boll,+49716417507735,+491713202130,j.schwinn@mail.xyz,ja,8.5555149,48.2965935
148,Ben,Provinzial,12.7.1999,Ostmarkstr. 69,63743,Aschaffenburg,+49602112128248,+491668414948,b.provinzial@mail.xyz,ja,9.1671894,49.9497024
149,Mohammed,Uhlemann,1.9.1957,Ringelnatzstr. 161,79599,Wittlingen,+49762198514643,+491517862934,mohammed.uhlemann@mail.xyz,ja,7.652051299999999,47.6593604
150,Bernhard,Scott,2.4.1947,Angelmodder Weg 41,7381,Langenorla,+49364774290799,+491739731608,b.scott@mail.xyz,ja,INVALID_LOCATION,INVALID_LOCATION
151,Yannic,Ballard,17.8.1986,Rosenplatz 119,20537,Hamburg,+494079731998,+491521554897,y.ballard@mail.xyz,ja,10.2227555,53.6816543
152,Detlev,Long,10.8.1927,Cheruskerstr. 100,64404,Bickenbach,+49625714618101,+491785044220,d.long@mail.xyz,ja,8.6110515,49.7560649
153,Emilie,Hagel,2.12.1934,Stolbergstr. 22,97528,Sulzdorf an der Lederhecke,+49976353337991,+491596776195,emilie.hagel@mail.xyz,ja,10.5623318,50.2407232
154,Cathrin,Herb,5.7.1967,An den Mhlen 170,67141,Neuhofen,+49623672616306,+491502672235,cathrin.herb@mail.xyz,ja,8.4234556,49.4224209
155,Josefine,McBride,22.8.1988,Manfred-von-Richthofen-Str. 34,17217,Alt Rehse,+49396237640731,+491773378890,josefine.mcbride@mail.xyz,ja,13.1608767,53.4973989
156,Oscar,Hornung,16.2.1937,Kreuzstr. 24,14089,Kladow,+493068519319,+491762852126,oscar.hornung@mail.xyz,ja,INVALID_LOCATION,INVALID_LOCATION
157,Jil,Hummel,13.12.1925,Arnheimweg 114,26723,Emden,+49492137265828,+491515719114,j.hummel@mail.xyz,ja,7.1721227,53.3647296
158,Philine,Lerch,8.7.1928,Rinkerodeweg 92,24848,Kropp,+494624178619,+491798386462,philine.lerch@mail.xyz,ja,9.509076199999999,54.411313
159,Oscar,Hawkins,8.7.1998,Catharina-Mller-Str. 64,35112,Fronhausen,+49642636065233,+491713928260,oscar.hawkins@mail.xyz,ja,8.6943664,50.70400249999999
160,Katrin,Grnewald,2.6.1992,Nienkamp 200,91737,Ornbau,+49982685301245,+491659492526,k.gruenewald@mail.xyz,ja,10.6568697,49.176808
161,Stella,Steiger,9.3.1984,Stettiner Str. 145a,63637,Jossgrund,+49605951368788,+491667952832,stella.steiger@mail.xyz,ja,9.416364999999999,50.1684597
162,Helmut,Hein,27.9.1939,Havichhorster Mhle 79,56283,Beulich,+49674561772447,+491657240638,h.hein@mail.xyz,ja,7.452953099999999,50.1751502
163,Emma,Heidemann,12.7.1937,Friedrich-Ebert-Str. 182,16775,Growoltersdorf,+49330619350358,+491509925362,emma.heidemann@mail.xyz,ja,INVALID_LOCATION,INVALID_LOCATION
164,Christa,Baumeister,10.8.1958,Handorfer Str. 73,79194,Gundelfingen,+4976171019074,+491643881062,christa.baumeister@mail.xyz,ja,7.866946599999999,48.0424069
165,Alex,Vaupel,11.7.1986,Norbertstr. 87,54597,Lnebach,+49655078103606,+491559131439,a.vaupel@mail.xyz,ja,INVALID_LOCATION,INVALID_LOCATION
166,Rosa,Neher,26.5.1967,Weserstr. 39,97271,Kleinrinderfeld,+49936662770932,+491507076918,r.neher@mail.xyz,ja,9.8446834,49.7005553
167,Gabriele,Sch_fers,12.9.1980,An Lyskirchen 41,42857,Remscheid,+49219157800757,+491672730271,g.schaefers@mail.xyz,ja,7.162155200000001,51.16776050000001
